code,name
ADMI3009,INTRODUCCIÓN A LOS NEGOCIOS GERENCIA Y ÉTICA
ADMI3010,COMPETENCIA EN COMPUTADORA PARA LA TOMA DE DECISIONES
ADMI3015,INTRODUCCIÓN AL COMERCIO INTERNACIONAL
ADMI3017,INTRODUCCIÓN AL DESARROLLO EMPRESARIAL
ADMI3028,TÉCNICAS AVANZADAS DE HOJAS DE CÁLCULO
ADMI3100,DESARROLLO DE NUEVAS EMPRESAS
ADMI3125,GESTIÓN EMPRESARIAL BASADA EN TECNOLOGÍA
ADMI3150,DESARROLLO DEL PLAN DE NEGOCIO
ADMI3155,CREATIVIDAD E INNOVACIÓN EMPRESARIAL
ADMI3315,FUNDAMENTOS DE COMERCIO ELECTRÓNICO
ADMI4001,INTRODUCCIÓN AL DERECHO
ADMI4002,DERECHO MERCANTIL
ADMI4016,AMBIENTE DE ORGANIZACIONES
ADMI4018,GERENCIA ESTRATÉGICA
ADMI4026,CULTURA EMPRENDEDORA Y LAS ORGANIZACIONES INTERNACIONALES
ADMI4039,MÉTODOS DE INVESTIGACIÓN EN LOS NEGOCIOS
ADMI4056,SEMINARIO
ADMI4085,FUNDAMENTOS DE LA GERENCIA DE PROYECTOS
ADMI4116,LA DIMENSIÓN HUMANA EN LA GERENCIA DE PROYECTO
ADMI4335,ESTRATEGIAS DE CAMBIO Y CRECIMIENTO PARA PEQUEÑAS Y MEDIANAS EMPRESAS
ADMI4995,PROBLEMAS ESPECIALES
ADMI4996,ASESORAMIENTO A PEQUEÑAS EMPRESAS
ADMI4997,PRACTICA DE EMPRESAS PARA ESTUDIANTES DEL PLAN COOP
CONT3011,PRINCIPIOS DE CONTABILIDAD FINANCIERA I
CONT3012,PRINCIPIOS DE CONTABILIDAD FINANCIERA II
CONT4006,CONTABILIDAD GERENCIAL
CONT4007,CONTRIBUCIÓN SOBRE INGRESOS FEDERAL
CONT4009,CONTRIBUCIÓN SOBRE INGRESOS DE PUERTO RICO
CONT4015,TEORIA Y PROBLEMAS DE CONTABILIDAD AVANZADA
CONT4016,DESARROLLOS RECIENTES EN CONTABILIDAD
CONT4017,INTERVENCIÓN DE CUENTAS Y SISTEMAS
CONT4018,CONTABILIDAD INTERMEDIA I
CONT4019,CONTABILIDAD INTERMEDIA II
CONT4027,ANÁLISIS Y CONTROL DE COSTOS
CONT4035,CONTABILIDAD DE COSTO
CONT4037,SISTEMAS DE INFORMACIÓN EN CONTABILIDAD
CONT4045,CONTABILIDAD AVANZADA I
CONT4046,CONTABILIDAD PARA ENTIDADES GUBERNAMENTALES Y ORGANIZACIONES SIN FINES DE LUCRO
CONT4048,CONTABILIDAD AVANZADA II
CONT4078,CONTABILIDAD DE COSTO
CONT4117,APRENDIZAJE MEDIANTE SERVICIO A TRAVES DEL CENTRO DE AYUDA VOLUNTEER INCOME TAX ASSISTANCE (VITA)
CONT4995,INTERNADO EN CONTABILIDAD
CONT5006,RESPONSABILIDADES CONTRIBUTIVAS DE LOS NEGOCIOS EN PUERTO RICO
CONT5007,INVESTIGACIÓN AVANZADA EN TEMAS DE CONTABILIDAD
ESTA3001,ESTADÍSTICA PARA NEGOCIOS I
ESTA3002,ESTADÍSTICA PARA NEGOCIOS II
FINA3005,PRINCIPIOS DE SEGURO
FINA3006,FINANZA MERCANTIL
FINA3016,ANÁLISIS DE NEGOCIOS UTILIZANDO INFORMES FINANCIEROS
FINA3017,MONEDA, BANCA Y CONDICIONES ECONÓMICAS
FINA3018,MANEJO DE CAPITAL DE TRABAJO
FINA3035,MANEJO DE LAS FINANZAS PERSONALES
FINA3037,ANÁLISIS FINACIERO Y EL FINANCIAMIENTO DE LAS PEQUEÑAS Y MEDIANAS EMPRESAS
FINA4017,INTRODUCCIÓN A LA TECNOLOGÍA FINANCIERA
FINA4028,FINANZA INTERNACIONAL
FINA4036,ADMINISTRACIÓN DE INSTITUCIONES FINANCIERAS
FINA4037,INVERSIONES
FINA4046,FINANZA CORPORATIVA
FINA4047,ANÁLISIS DE INVERSIÓN Y SELECCIÓN DE CARTERA DE VALORES
FINA4048,MANEJO DE CRÉDITO Y COBRO
FINA4055,DERIVADOS FINANCIEROS
FINA4069,FINANZA INTEGRATIVA
FINA4995,INTERNADO EN FINANZAS
FINA5015,PRINCIPIOS DE INGENIERIA FINANCIERA
GERE4008,MÉTODOS CUANTITATIVOS EN LA GERENCIA DE OPERACIONES
GERE4009,PLANIFICACIÓN Y CONTROL DE PRODUCCIÓN
GERE4036,CIENCIAS DE ASEGURAMIENTO
GERE4045,MANEJO DE LA CADENA DE SUMINISTROS
GERE4046,GERENCIA DE OPERACIONES
GERE4055,GERENCIA DE OPERACIONES EN INDUSTRIAS DE SERVICIO
GERE4085,APLICACIONES DE GERENCIA DE PROYECTOS EN LOS NEGOCIOS
GERE4318,CONTROL DE CALIDAD
GERE4335,GERENCIA DE COMPRAS
GERE4336,GERENCIA DE INVENTARIO
GERE4995,INTERNADO EN GERENCIA DE OPERACIONES
GERH4007,DISEÑO ORGANIZACIONAL
GERH4008,GERENCIA DE RECURSOS HUMANOS
GERH4010,LA MUJER Y EL TRABAJO
GERH4015,PLANIFICACIÓN Y EMPLEO DE LA FUERZA LABORAL
GERH4016,RELACIONES LABORALES
GERH4017,LEGISLACIÓN LABORAL COMPARADA
GERH4019,ADMINISTRACIÓN DE LA COMPENSACIÓN
GERH4025,CONDUCTA ORGANIZACIONAL
GERH4027,LIDERATO EN ORGANIZACIONES
GERH4030,DESARROLLO DE LOS RECURSOS HUMANOS
GERH4035,INNOVACIÓN Y CAMBIO ORGANIZACIONAL
GERH4036,COMUNICACIÓN INTERPERSONAL EN EL LUGAR DE TRABAJO
GERH4995,INTERNADO EN GERENCIA DE RECURSOS HUMANOS
MERC3115,PRINCIPIOS DE MERCADEO
MERC3117,VENTAS Y GERENCIA DE VENTAS
MERC4065,ESTRATEGIAS GLOBALES DE MERCADEO
MERC4075,INVESTIGACIÓN EN MERCADEO
MERC4215,MANEJO DE VENTAS AL DETAL
MERC4217,COMPORTAMIENTO DEL CONSUMIDOR
MERC4218,ADMINSTRACIÓN DE LOGÍSTICA
MERC4230,COMUNICACIONES INTEGRADAS DE MERCADEO
MERC4236,MERCADEO DE SERVICIOS
MERC4995,INTERNADO EN MERCADEO
SICI3018,FUNDAMENTOS DE SISTEMAS DE INFORMACIÓN
SICI3029,FUNDAMENTOS DE PROGRAMACIÓN PARA NEGOCIOS
SICI3058,PROGRAMACION EN LENGUAJE C
SICI3066,INTRODUCCIÓN A LA PROGRAMACIÓN PARA ANÁLISIS EMPRESARIAL
SICI3108,FUNDAMENTOS DE DISEÑO DE SITIOS WEB
SICI4046,ANÁLISIS Y DISEÑO DE SISTEMAS DE INFORMACIÓN
SICI4089,COMUNICACIÓN DE DATOS Y REDES
SICI4095,DESARROLLO DE BASE DE DATOS
SICI4096,MANEJO DE ASUNTOS CONTEMPORÁNEOS EN LA GERENCIA DE SISTEMAS DE INFORMACIÓN
SICI4097,DESARROLLO DE SISTEMAS
SICI4144,LENGUAJES DE PROGRAMACIÓN PARA NEGOCIOS
SICI4146,TECNOLOGÍA DE HARDWARE Y SOFTWARE EN LOS SISTEMAS DE INFORMACIÓN
SICI4155,SISTEMAS DE RESPALDO PARA LA TOMA DE DECISIONES
SICI4157,CONCEPTOS AVANZADOS DE BASES DE DATOS
SICI4168,AUDITORÍA DE SISTEMAS DE INFORMACIÓN
SICI4175,INTRODUCCIÓN A LA PROGRAMACIÓN EN JAVA
SICI4185,INTRODUCCIÓN A LA PROGRAMACIÓN DE DISPOSITIVOS MÓVILES
SICI4186,INVESTIGACIONES FORENSES PARA COMPUTADORAS Y MÓVILES
SICI4308,FUNDAMENTOS DE REDES Y ENRUTAMIENTO
SICI4995,INTERNADO EN SISTEMAS DE INFORMACIÓN COMPUTADORIZADOS
SICI5318,ENRUTAMIENTO INTERMEDIO, CONMUTACIÓN Y REDES DE ÁREAS AMPLIAS
ADOF3005,SISTEMA ABREVIADO DE ESCRITURA EN ESPAÑOL
ADOF3009,MANEJO Y CONTROL DE DOCUMENTOS
ADOF3016,EL TECLADO Y SUS APLICACIONES I
ADOF3017,EL TECLADO Y SUS APLICACIONES II
ADOF3036,PROCESAMIENTO DE INFORMACIÓN Y SERVICIOS DE FACTURACIÓN EN OFICINAS MÉDICAS
ADOF3105,INTRODUCCIÓN A LA ADMINISTRACIÓN DE OFICINAS
ADOF3107,LA OFICINA: CONCEPTOS, SISTEMAS Y TECNOLOGÍA DE OFICINAS
ADOF3115,LAS TELECOMUNICACIONES EN LA OFICINA MODERNA
ADOF3125,ADMINISTRACIÓN DE LA OFICINA LEGAL
ADOF4005,LA PRODUCCIÓN ELECTRÓNICA DE DOCUMENTOS
ADOF4019,PROCEDIMIENTOS ADMINISTRATIVOS DE OFICINA
ADOF4020,ADIESTRAMIENTO EN EQUIPO ELECTRÓNICO
ADOF4025,PRÁCTICA EN ADMINISTRACIÓN DE OFICINAS
ADOF4055,RELACIONES INTERPERSONALES
ADOF4065,INTRODUCCIÓN AL PROCESAMIENTO DE PALABRAS
ADOF4075,INTEGRACIÓN DE PROGRAMAS DE PROCESAMIENTO DE INFORMACIÓN
ADOF4077,DISEÑO Y PROCESAMIENTO DE DOCUMENTOS
ADOF4080,PLANIFICACIÓN DE SEMINARIOS Y ADIESTRAMIENTOS
ADOF4995,INTERNADO DE ADMINISTRACIÓN DE OFICINAS